proj,agent,model,turns,tok,out,reads,dup_before,dup_after,final,mins
-Code-ChessBot,EngineTriage,claude-opus-5,23,1812615,28787,5,1,1,23492,4.4
-Code-ChessBot,FixConfirmBinding,claude-fable-5,27,1808185,28256,3,0,2,4537,5.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ForensicsScout,gpt-5.6-terra,31,1785226,16746,12,0,2,35209,3.1
-Code-ChessBot,AstraDigest,claude-opus-5,15,1779525,28268,10,2,1,39748,2.6
-Code-FPL,FetchFix,claude-opus-5,31,1776074,24270,1,1,0,2340,8.5
-Code-ChessBot,SourceReview,claude-opus-5,25,1765265,31242,3,0,0,59,6.9
-Code-ChessBot,RepoState,gpt-5.6-terra,42,1765136,5047,31,0,2,3182,3.3
-Code-ChessBot,BreadthS03,gpt-6-astra,40,1763996,5821,14,1,0,1952,7.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ResearchSubstance,gpt-5.6-terra,30,1761290,11119,17,0,0,23205,2.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FailureAudit,gpt-5.6-terra,25,1742323,9352,11,0,0,19591,2.0
-Code-ChessBot,RepoStateAudit,claude-opus-5,26,1739215,30270,3,0,0,20141,4.1
-Code-PokerBot,R43Ladder,claude-opus-5,27,1735563,25677,0,0,0,202,15.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,EmpiricalHistory,gpt-5.6-terra,25,1731322,9301,11,0,0,0,7.6
-Code-ChessBot,RegistryDocs,claude-opus-5,24,1727621,29324,7,2,1,5960,7.3
-Code-ChessBot,TriggerCardFreeze,claude-fable-5,22,1727563,44592,7,5,0,3842,146.5
-Code-ChessBot,DepthS05,claude-opus-5,21,1722938,24575,4,0,0,4394,5.2
-Code-ChessBot,verifyfleet,claude-opus-5,25,1716371,35849,2,0,0,12837,6.8
-Code-ChessBot,MeasurementAudit,claude-opus-5,22,1713786,19567,18,0,0,12642,3.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ArgumentAssessment,claude-opus-5,16,1709083,32067,10,0,0,13069,5.9
-Code-ChessBot,EvidenceTriage,claude-opus-5,15,1701008,30638,4,1,1,31350,4.2
-Code-Agentic Obsidian Vault-Agentic-dissertation,MethodsSpecBuilder,claude-fable-5,14,1690363,58986,15,0,0,4570,13.1
-Code-Trades,ProposalSeams,gpt-5.6-terra,27,1683669,8707,16,4,3,13263,1.7
-Code-ChessBot,ThreefoldFix,claude-fable-5,24,1682771,46628,5,0,0,2566,148.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FailureForensics,gpt-5.6-terra,23,1666648,11183,12,0,0,18766,2.2
-Code-ChessBot,BreadthS09,gpt-6-astra,37,1663701,6013,12,1,0,1729,7.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FailureHistory,gpt-5.6-terra,27,1661738,12719,16,0,0,0,7.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VerifyPromptSens,gpt-5.6-terra,37,1658103,13108,26,0,0,28319,4.6
-Code-ChessBot,DepthS01,claude-opus-5,23,1656040,29926,3,0,0,3723,6.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScreenC3,claude-opus-5,24,1653059,44257,4,0,0,20737,15.4
-Code-Trades,F574Trace,gpt-5.6-terra,22,1643097,8135,12,1,0,4225,2.4
-Code-ChessBot-worktrees-campaign-2800,PaperworkFix,claude-opus-5,23,1635568,22687,3,1,0,7471,4.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ConstraintAudit,gpt-5.6-terra,26,1635401,9251,7,0,0,13460,2.2
-Code-ChessBot,DepthS18,claude-opus-5,26,1630038,25701,3,0,0,2956,5.7
-Code-Agentic Obsidian Vault-Agentic-dissertation,SpecFixer,claude-fable-5,14,1624493,52691,5,0,0,7099,9.8
-Code-ChessBot,DepthS12,claude-opus-5,24,1612589,19293,3,0,0,3441,4.6
-Code-Trades,IdentifyPaperJul16,gpt-5.6-terra,28,1611687,8427,17,2,2,141,4.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ExperimentAudit,gpt-5.6-terra,27,1610562,8641,15,0,0,16373,1.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MockHorizon,claude-fable-5-1,28,1603560,25022,7,0,0,1654,5.2
-Code-ChessBot,EngineDigest,claude-opus-5,18,1600732,21611,20,0,3,23776,2.4
-Code-ChessBot,CombineFinal,gpt-5.6-sol,38,1585365,8602,4,0,1,2346,3.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ChapterMaterials,gpt-5.6-terra,34,1582165,11223,15,1,0,12318,3.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AdoptionRedTeam,claude-fable-5,12,1575975,29633,13,8,0,1857,6.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RemainingFields,claude-opus-5,27,1574565,33411,4,1,0,27162,10.2
-Code-Trades,QuarterHourPR,gpt-5.6-sol,38,1566510,11640,12,0,0,191,15.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VoiceTransferAudit,gpt-5.6-terra,28,1564346,10199,15,0,4,8953,3.3
-Code-ChessBot,DepthS02,claude-opus-5,19,1562638,20096,3,0,0,3651,4.0
-Code-ChessBot,BreadthS11,gpt-6-astra,36,1547630,5378,12,1,0,1869,8.3
-Code-ChessBot,BreadthS14,gpt-6-astra,37,1540420,5454,15,1,0,1804,7.8
-Code-ChessBot,BreadthS04,gpt-6-astra,37,1535379,5884,11,2,0,2169,7.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,d5-extract,gpt-5.6-terra,30,1533397,11882,8,0,0,371,4.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MADFormalisation,claude-fable-5,19,1528366,29112,9,0,1,2405,6.0
-Code-ChessBot,ReviewSearch,claude-fable-5,20,1525727,47122,6,1,2,36,11.6
-Code-ChessBot,FixInbox,claude-fable-5,25,1520502,24560,3,1,2,4912,5.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VerifyTradingAgents,gpt-5.6-terra,49,1507106,13760,32,0,0,26589,7.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,CutMap,gpt-5.6-terra,29,1505516,12055,7,1,0,11055,3.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SecondPassCheck,gpt-6-astra,16,1505316,10417,19,6,3,505,6.4
-Code-ChessBot,ReportScout,gpt-5.6-terra,47,1501447,9341,41,2,2,8196,8.5
-Code-ChessBot,CpuControlAudit,gpt-5.6-terra,25,1488651,10403,7,5,4,16938,2.1
-Code-Trades,AdaptiveSelectorPR,gpt-5.6-sol,42,1487290,10225,7,0,0,412,18.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VerifyEvalMeth,gpt-5.6-terra,39,1484307,10276,26,0,0,23086,4.3
-Code-ChessBot,ScoutMetricTools,claude-opus-5,18,1480068,21846,27,1,1,24169,2.8
-Code-Trades,OutcomeProgramTerms,gpt-5.6-terra,34,1475991,8548,22,2,4,15575,5.0
-Code-ChessBot,BreadthS02,gpt-6-astra,37,1472019,5511,11,1,0,1787,8.5
-Code-ChessBot,DepthS13,claude-opus-5,23,1465177,27940,8,0,0,6327,5.7
-Code-ChessBot,UnpinnedCudaSmoke,gpt-5.6-sol,33,1463095,19556,1,0,0,3617,5.6
-Code-ChessBot,BreadthS13,gpt-6-astra,37,1462599,5167,13,1,0,1983,7.9
-Code-ChessBot,ResearchMarketplaceCPU,gpt-5.6-terra,36,1457111,8051,14,0,0,7729,7.4
-Code-ChessBot,LoopAndJudge,gpt-5.6-terra,28,1441843,10902,11,0,0,14769,7.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MechanismProgramme,gpt-5.6-terra,31,1439160,11439,9,1,0,19699,2.7
-Code-ChessBot,OpeningsPool,claude-fable-5,19,1425958,32891,8,4,0,2014,6.8
-Code-ChessBot,BreadthS05,gpt-6-astra,34,1404641,5769,10,1,0,1714,7.2
-Code-ChessBot,BreadthS07,gpt-6-astra,37,1396903,5817,11,0,0,1694,7.4
-Code-ChessBot,LadderIntel,gpt-5.6-terra,32,1388392,5789,21,0,0,11722,2.5
-Code-ChessBot,StateLedger,claude-fable-5,19,1383131,43825,5,4,0,3937,146.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,TikzResources,claude-opus-5,8,1377388,16243,28,0,0,25520,1.4
-Code-ChessBot,EndgameEvidence,claude-opus-5,13,1366271,20900,17,0,0,31054,1.8
-Code-PokerBot,R41Replay,claude-opus-5,27,1365841,22396,2,0,0,1884,15.9
-Code-ChessBot,verifydegrade,claude-opus-5,24,1362424,27024,2,0,0,12115,5.9
-Code-ChessBot,DevTier,claude-fable-5,18,1355687,22617,6,4,0,2454,4.2
-Code-ChessBot,BuildComposite,claude-fable-5-1,24,1354427,13992,10,1,0,263,8.8
-Code-ChessBot,CandidateState,gpt-5.6-terra,33,1353764,8547,21,0,1,11510,3.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SourceMappingAudit,claude-fable-5,15,1352101,20681,6,5,0,845,6.7
-Code-ChessBot,BreadthS08,gpt-6-astra,36,1340521,5921,12,1,0,1546,7.3
-Code-ChessBot,HarnessApiScout,gpt-5.6-terra,30,1338980,4913,15,1,5,5241,2.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch4FS3Mitigation,claude-fable-5-1,14,1331730,26576,9,1,1,2066,4.7
-Code-PokerBot,HarnessScout,claude-opus-5,16,1312774,16955,16,3,0,17663,2.1
-Code-ChessBot,PokerDiary,gpt-5.6-terra,29,1302673,4372,22,0,0,7792,1.3
-Code-ChessBot-worktrees-campaign-2800,NetTraining,claude-opus-5,16,1285804,15937,7,0,0,14693,2.1
-Code-PokerBot,SuiteScout,claude-opus-5,17,1284483,17741,22,0,0,12814,2.3
-Code-ChessBot,BreadthS06,gpt-6-astra,35,1283232,5271,12,1,0,1965,7.6
-Code-ChessBot,LoopKickoffScout,gpt-5.6-terra,26,1281830,4890,10,0,4,6963,2.3
-Code-Agentic Obsidian Vault-Agentic-dissertation,FeedbackKeeper,claude-fable-5,18,1261618,14215,5,0,0,2883,3.5
-Code-FPL,FetchSolio,claude-opus-5,27,1248411,23299,0,0,0,3746,4.6
-Code-ChessBot,BreadthS10,gpt-6-astra,31,1248372,4746,9,1,0,1835,7.2
-Code-ChessBot,AdmissionEvidence,claude-opus-5,16,1236495,34816,17,1,1,13477,6.7
-Code-Trades,ChainManifestBuilder,gpt-5.6-sol,33,1234045,10081,8,3,2,595,6.8
-Code-ChessBot,BreadthS15,gpt-6-astra,30,1223682,4742,10,1,0,626,6.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LedgerNotebook,claude-fable-5,13,1216806,51400,6,0,0,1897,9.8
-Code-ChessBot,FixContainmentEscalation,claude-fable-5,19,1201358,22048,3,1,3,4410,4.5
-Code-ChessBot,BreadthS18,gpt-6-astra,31,1200715,4389,9,1,0,703,6.5
-Code-ChessBot-worktrees-campaign-2800,PanelJudge,claude-opus-5,20,1199785,15646,26,0,0,15548,1.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ClaimsAlreadyMade,gpt-5.6-terra,22,1197610,8910,16,0,0,18763,1.7
-Code-PokerBot,ProcessScout,claude-opus-5,16,1193112,17217,19,3,0,15678,2.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ProofAudit,gpt-5.6-sol,25,1191454,29627,4,1,0,32,10.0
-Code-ChessBot,DepthS07,claude-opus-5,18,1183424,17862,2,0,0,3487,3.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScreenC6,claude-opus-5,17,1177509,30651,10,0,0,10580,12.7
-Code-ChessBot,BreadthS19,gpt-6-astra,30,1170598,4661,10,1,0,1699,6.9
-Code-ChessBot,BreadthS16,gpt-6-astra,34,1168031,5210,10,0,0,1595,7.6
-Code-ChessBot,BreadthS17,gpt-6-astra,31,1161778,4480,10,1,0,1774,6.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScreenC1,claude-opus-5,18,1158559,36872,6,0,0,17194,14.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltySearch,claude-fable-5,14,1158003,28270,6,0,0,2171,9.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ContractScout,gpt-5.6-terra,25,1153960,12678,4,0,2,24389,3.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScreenC5,claude-opus-5,19,1153576,39849,2,0,0,4943,12.7
-Code-ChessBot,ServerProbe,gpt-5.6-terra,37,1153200,8174,8,3,2,1291,3.9
-Code-ChessBot,verifytiming2,claude-fable-5-1,21,1146510,18071,6,2,0,2390,4.0
-Code-ChessBot,Watchdog166,gpt-5.6-terra,56,1141407,4419,0,0,0,0,145.5
-Code-ChessBot,reviewnnue,claude-fable-5-1,19,1135691,23480,6,1,1,9477,4.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LayoutSty,claude-fable-5-1,18,1131966,10996,7,4,1,3229,2.5
-Code-ChessBot,GpuBatchAudit,gpt-5.6-terra,24,1119098,6516,8,6,6,7210,2.0
-Code-ChessBot,BreadthS12,gpt-6-astra,32,1118475,4250,7,0,0,638,6.6
-Code-ChessBot,HarnessTriage,claude-opus-5,13,1111397,22155,4,1,1,7881,4.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DispositionPass,claude-fable-5,13,1105369,33623,4,1,0,1770,6.5
-Code-Trades,IdentifyPaperJul14,gpt-5.6-terra,25,1104997,6108,15,2,0,1369,4.5
-Code-ChessBot,FieldEvidence,claude-opus-5,11,1100900,20728,14,0,0,28788,1.9
-Code-ChessBot,FixKqueueObserver,claude-fable-5,18,1096646,36306,2,1,1,5360,6.8
--private-tmp--,OpeningWorker,claude-opus-5,16,1088800,17886,4,1,0,6634,4.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MarkerScout,gpt-5.6-terra,24,1088377,6100,15,0,2,12037,2.0
-Code-Trades,IdentifyPaperJul23,gpt-5.6-terra,24,1088245,6827,13,2,2,61,4.6
-Code-ChessBot,next-patch-sequencing,gpt-6-astra,16,1086022,10031,32,6,0,1556,6.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RepoMappingAudit,claude-fable-5,15,1085599,26666,5,4,0,739,6.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScreenC4,claude-opus-5,18,1084417,22362,4,0,0,9059,11.9
-Code-Trades,IdentifyPaperJul21,gpt-5.6-terra,30,1084104,8608,15,2,1,105,6.3
-Code-ChessBot,ScoutEngineLevers,claude-opus-5,13,1074816,20793,11,3,1,24230,2.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RubricGap,gpt-5.6-terra,13,1071135,4074,6,0,0,9762,0.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3Appendix,claude-fable-5-1,18,1060881,3422,6,0,0,0,1.0
-Code-ChessBot,BreadthS20,gpt-6-astra,31,1060298,4299,10,1,0,1477,6.7
-Code-Agentic Obsidian Vault-Agentic-dissertation,GapAssessor,claude-fable-5,16,1056493,18358,3,0,0,2215,4.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RlmPaperScout,gpt-5.6-terra,18,1054345,6887,9,0,0,13508,1.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch1ScientificTrace,claude-opus-5,15,1053650,16907,9,3,2,22075,1.6
-Code-Trades,ManifestSealReview,claude-fable-5,18,1052827,10094,6,4,2,1745,2.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MemoS13,claude-fable-5,17,1037384,18908,9,0,0,2552,3.8
-Code-Trades,IndependentEdgeAudit,gpt-5.6-terra,30,1029523,14505,14,1,0,5717,5.0
-Code-ChessBot,PhaseZero,claude-fable-5,17,1027827,35382,4,0,2,2360,10.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SupervisorRedTeam,claude-fable-5,8,1026767,19849,6,5,0,9513,3.2
-Code-ChessBot,WorkloadFit,gpt-5.6-terra,25,1025595,8772,15,0,3,14313,1.8
-Code-ChessBot,AdmissionReview,claude-opus-5,18,1019550,41457,5,0,0,14564,8.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DiagramResources,claude-opus-5,11,1015741,18547,36,0,0,27992,1.7
-Code-ChessBot,verifyresources1-2,claude-fable-5-1,19,1013755,21087,4,2,0,2476,7.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MemoS02,claude-fable-5,16,1011366,11495,10,0,1,2136,2.5
-Code-ChessBot,ReviewNumba,claude-fable-5-1,23,1008735,15001,4,0,0,1087,12.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,PersistAudits,gpt-5.6-terra,19,1008080,2766,7,6,0,424,1.9
-Code-ChessBot,verifyrules2,claude-fable-5-1,20,994438,11159,5,1,0,2700,2.4
-Code-ChessBot,FixReuseEvidence,claude-fable-5,16,993597,23246,3,0,2,4806,4.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MemoVoiceReview,gpt-5.6-sol,27,983627,21044,6,5,1,246,11.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LexicalFactorial,gpt-5.6-sol,19,982337,9963,9,1,0,1036,4.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SeamInventory,gpt-5.6-terra,13,978142,5391,6,0,1,15782,0.8
-Code-ChessBot,verifyrules0,claude-fable-5-1,22,968845,9768,12,2,0,2523,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch4FS2Consistency,claude-fable-5-1,13,959572,25397,13,1,1,1852,4.7
-Code-ChessBot,ReadmeFrontier,claude-opus-5,15,958472,19037,3,1,0,3848,3.5
-Code-PokerBot,StarterScout,gpt-5.6-terra,27,950453,4713,24,1,0,8593,2.0
-Code-ChessBot,PokerPR,gpt-5.6-terra,23,943209,3406,19,0,0,4053,1.4
-Code-Trades,IdentifyPaperJul20,gpt-5.6-terra,29,913290,7930,19,2,1,140,5.4
-Code-ChessBot,TrainPipelineScout,gpt-5.6-terra,9,911777,4867,15,0,4,5021,1.4
-Code-ChessBot,DepthS11,claude-opus-5,15,905208,17796,3,0,0,3705,4.8
-Code-ChessBot,StatsGates,gpt-5.6-terra,19,903610,7210,5,0,1,14608,4.7
-Code-ChessBot,MatchRunner,claude-fable-5,19,902231,18212,2,0,0,2755,3.4
-Code-FPL,Evaluator,claude-opus-5,17,897877,21018,2,0,0,2360,3.6
-Code-Trades,ProvenanceCrossReview,claude-fable-5,17,891436,9616,5,3,1,1760,1.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,estimator-verify,claude-fable-5,14,867353,16186,5,0,0,8465,1.6
-Code-ChessBot,DepthS10,claude-opus-5,15,866802,14968,4,0,0,3463,2.8
-Code-ChessBot,MethodsEvidence,claude-opus-5,10,862704,20770,13,0,0,25556,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ProofReconstruct,claude-opus-5,15,855483,56077,0,0,0,13339,10.9
-Code-ChessBot,RunStatus,gpt-5.6-terra,32,853522,6195,8,0,0,8893,1.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AgentBookMemo,gpt-5.6-sol,24,853156,12566,5,3,1,377,12.9
-Code-ChessBot-worktrees-campaign-2800,SearchParams,claude-opus-5,13,851821,15009,10,0,1,15357,1.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,round31-verify,gpt-5.6-terra,27,849892,7212,6,0,0,5324,2.6
-Code-Trades,ManifestScout,gpt-5.6-terra,22,849003,4709,10,3,0,12044,1.2
-Code-ChessBot,verifytiming1,claude-fable-5-1,18,839016,13265,7,1,0,1596,2.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,round31-verify2,gpt-5.6-terra,22,836421,7469,5,0,0,3649,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MockLedger,claude-fable-5-1,15,831341,21544,4,1,0,1588,4.4
-Code-ChessBot,DepthS15,claude-opus-5,14,830946,16237,9,0,0,3267,3.5
-Code-ChessBot,verifyresources0,claude-fable-5-1,16,826155,21125,6,2,0,2315,6.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DispatchMethodsReplacement,claude-opus-5,14,822302,8570,1,0,1,2386,1.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,KimRead,claude-opus-5,10,812449,21501,2,0,0,4271,4.0
-Code-ChessBot,LabelAgreement,gpt-5.6-sol,22,788634,14269,9,0,2,3719,3.9
-Code-ChessBot,verifyresources2-2,claude-fable-5-1,17,777639,15146,4,2,0,2132,9.2
-Code-ChessBot,CoreMap,gpt-5.6-terra,8,768955,14934,25,0,0,27453,2.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ExternalPromptEvidence,gpt-5.6-terra,21,766249,5720,11,0,1,8638,5.2
-Code-Trades,IdentifyPaperJul22,gpt-5.6-terra,23,762446,8231,13,2,1,691,5.3
-Code-ChessBot,BacklogDigest,claude-opus-5,10,759791,21038,22,1,1,32121,1.1
-Code-ChessBot,ContainmentRace,gpt-5.6-sol,22,755671,6387,2,0,2,557,2.6
-Code-Agentic Obsidian Vault-Agentic-CareerMode,DealsAndMarkets,claude-opus-5,11,754856,19444,14,0,0,27105,2.6
-Code-ChessBot,ServerScout,gpt-5.6-terra,24,751909,3607,10,3,2,5339,1.5
-Code-ChessBot,FixRunbookCapture,claude-fable-5,14,750586,25129,1,1,0,4996,4.9
-Code-Trades,QuoteGraphBuilder,gpt-5.6-sol,19,749104,14259,3,2,0,459,5.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,BenchmarkPairing,claude-opus-5,10,736776,10208,12,1,0,9564,1.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FailureForensics,gpt-5.6-terra,14,732241,11090,3,0,0,20120,1.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,gauntlet-inv,gpt-5.6-terra,19,724187,6908,12,0,0,578,2.9
-Code-ChessBot,FixInvarianceLease,claude-fable-5-1,13,716816,9108,3,1,0,3228,1.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RiskTranslation,claude-fable-5,12,714867,10306,6,0,0,1666,2.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MemoX2,claude-fable-5,9,714844,9437,6,0,0,1989,1.8
-Code-ChessBot,DepthS14,claude-opus-5,13,713442,13987,3,0,0,3736,2.8
-Code-ChessBot,verifyrules1-2,claude-fable-5-1,17,711363,10165,6,2,0,3188,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LedgerDistiller,gpt-5.6-terra,18,710147,15132,10,0,0,36658,1.5
-Code-PokerBot,StatsScout,claude-opus-5,11,702122,18388,14,2,0,14934,2.7
-Code-ChessBot,BacklogStrategy,gpt-5.6-terra,19,700365,9194,10,2,2,13564,1.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,StatisticalDesigner,gpt-5.6-sol,14,688356,13691,9,7,2,205,4.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,EvaluationTraining,gpt-5.6-terra,13,677501,19075,5,0,0,33771,3.4
-Code-ChessBot,manifest-size-correction,claude-opus-5,17,677419,7091,1,0,0,602,6.0
-Code-ChessBot,ReviewCombinedFinal,claude-fable-5-1,17,677065,6041,4,0,0,698,1.3
-Code-ChessBot,DepthS16,claude-opus-5,12,676980,12420,2,0,0,2536,2.7
-Code-ChessBot,DepthS20,claude-opus-5,11,664903,15059,5,0,0,3170,3.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,count-fix,gpt-5.6-terra,25,659030,5023,2,0,0,1665,2.2
-Code-ChessBot,DistillStatus,gpt-5.6-terra,16,654002,3197,8,2,1,3003,1.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,TableCellCheck,gpt-5.6-terra,17,652466,7379,5,1,0,3004,2.5
-Code-ChessBot,LadderPlist,claude-fable-5-1,16,652060,5173,3,0,0,156,17.6
-Code-ChessBot,ServerAlloc,gpt-5.6-terra,19,650800,5236,6,0,1,70,9.9
-Code-ChessBot,DepthS17,claude-opus-5,11,645815,16291,2,0,0,4910,2.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-5,claude-opus-5,11,643999,11571,15,0,0,0,2.6
-Code-Trades,BoaAggregationPR,gpt-5.6-sol,19,640795,7433,6,0,1,479,3.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MockAnatomy,claude-fable-5-1,14,637578,10549,4,1,0,1123,2.1
-Code-Agentic Obsidian Vault-Agentic-CareerMode,TechTrades,claude-opus-5,8,633399,11724,0,0,0,20832,6.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,TableCellGrounding,gpt-5.6-terra,17,627253,9738,1,1,1,7035,3.0
-Code-ChessBot,verifylegality1,claude-fable-5-1,15,623407,4838,5,1,0,1898,1.0
--private-tmp--,Opening,claude-opus-5,14,622449,7713,3,1,1,2920,4.2
-Code-ChessBot,CandidatePanelRunner,gpt-6-astra,17,619959,8978,7,4,2,5847,5.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MemoEvidenceReview,gpt-5.6-sol,20,614770,19132,5,3,1,355,10.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,TikzSkills,claude-opus-5,8,614485,11816,19,2,1,15722,0.9
-Code-FPL,PipelineDocs,claude-opus-5,16,614301,6317,1,0,0,1462,6.7
-Code-ChessBot,SessionWatchdog,gpt-5.6-terra,33,609200,3159,0,0,0,0,15.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ThesisScout,gpt-5.6-terra,22,609083,9208,9,3,2,11621,2.0
-Code-ChessBot,Watchdog187,gpt-5.6-terra,32,606874,2703,0,0,0,0,36.1
-Code-ChessBot,Runbook,gpt-5.6-terra,16,597906,6983,7,3,2,165,3.4
-Code-ChessBot,ZipParity,gpt-5.6-terra,27,596596,6162,7,0,1,4163,1.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MockLadder,claude-fable-5-1,14,595545,6794,6,0,0,1428,1.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SAESteeringExtract,gpt-5.6-terra,14,592654,6790,9,0,0,11616,1.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MockExtension,claude-fable-5-1,12,587933,11590,6,1,1,1246,2.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VerifierBuilder,gpt-5.6-sol,17,565785,45879,11,3,1,0,14.2
-Code-FPL,PublicSnapshot,claude-opus-5,13,561672,14291,3,0,0,4288,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,orchestrate-notice-text,gpt-5.6-terra,20,557326,10064,1,0,0,178,3.9
-Code-ChessBot,designfleet,claude-opus-5,10,550947,29363,1,0,0,10614,6.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SvgSkills,claude-opus-5,7,549312,12209,17,0,3,21887,0.7
-Code-ChessBot,ConversionRunner,gpt-6-astra,15,546070,8502,9,5,3,5089,5.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,audit-read-6,claude-opus-5,11,543023,9631,13,0,1,0,2.0
-Code-Trades,IdentifyPaperJul12,gpt-5.6-terra,21,542781,6588,13,2,1,152,4.4
-Code-ChessBot,FixRunbook,claude-fable-5,9,542222,18752,4,2,0,5121,3.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LedgerScribe,claude-fable-5,9,537696,18519,3,3,1,3309,2.8
-Code-ChessBot,ScienceAudit,claude-opus-5,11,532231,8926,12,0,0,10725,0.8
